Q1,Q2,Q3,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q6,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q13
Which would you say best describes your primary role?,"So that we can better understand your experience with software engineering artifacts, roughly how many publications have you authored?","For the purposes of this questionnaire, we define an artifact as any external materials or information provided in conjunction with a research paper.  In practice, this consists of any materials developed by authors and linked to from a research paper. For example, this would include replication packages, tools/source code, companion sites, benchmarks, raw data, survey instruments and results, mechanized proofs, and more.

Have you ever published a paper that included an artifact?",Consider your most recently published paper in which you shared an artifact. Select all the reasons below for which you shared that artifact: - Selected Choice - As a replication package,Consider your most recently published paper in which you shared an artifact. Select all the reasons below for which you shared that artifact: - Selected Choice - As tools or code to accompany a paper,Consider your most recently published paper in which you shared an artifact. Select all the reasons below for which you shared that artifact: - Selected Choice - To provide a companion site,"Consider your most recently published paper in which you shared an artifact. Select all the reasons below for which you shared that artifact: - Selected Choice - To provide extra data that doesn'?t fit in the paper (e.g., survey results)",Consider your most recently published paper in which you shared an artifact. Select all the reasons below for which you shared that artifact: - Selected Choice - To provide additional information to the reviewer(s),"Consider your most recently published paper in which you shared an artifact. Select all the reasons below for which you shared that artifact: - Selected Choice - A supervisor, collaborator, or advisor insisted on it",Consider your most recently published paper in which you shared an artifact. Select all the reasons below for which you shared that artifact: - Selected Choice - Other,Consider up to your three most recent papers published in a software engineering venue. Was there an artifact shared with any of these papers?,Consider up to your three most recently published papers. Did you experience any difficulties or challenges when creating artifacts associated with those papers? - Selected Choice,Have you ever submitted to an artifact evaluation committee? - Selected Choice,For which of the following reasons have you used an artifact created by someone else? (Select all that apply) - Selected Choice - To obtain supplementary information for a research paper.,For which of the following reasons have you used an artifact created by someone else? (Select all that apply) - Selected Choice - To obtain the necessary tools and/or data to replicate the findings of a research paper.,For which of the following reasons have you used an artifact created by someone else? (Select all that apply) - Selected Choice - To obtain benchmark data or results to compare against.,For which of the following reasons have you used an artifact created by someone else? (Select all that apply) - Selected Choice - For teaching purposes.,For which of the following reasons have you used an artifact created by someone else? (Select all that apply) - Selected Choice - I have never used an artifact from a research paper other than my own.,For which of the following reasons have you used an artifact created by someone else? (Select all that apply) - Selected Choice - Other:,What challenges have you faced when trying to use an artifact other than your own? (Select all that apply) - Selected Choice - I have never tried and failed to use an artifact.,What challenges have you faced when trying to use an artifact other than your own? (Select all that apply) - Selected Choice - A lack of clear instructions for using the artifact.,What challenges have you faced when trying to use an artifact other than your own? (Select all that apply) - Selected Choice - A lack of clear instructions for building the artifact.,What challenges have you faced when trying to use an artifact other than your own? (Select all that apply) - Selected Choice - The artifact was no longer accessible.,"What challenges have you faced when trying to use an artifact other than your own? (Select all that apply) - Selected Choice - I couldn't build the artifact due to an unavailable piece of software, library, or compiler.","What challenges have you faced when trying to use an artifact other than your own? (Select all that apply) - Selected Choice - I couldn't run the artifact due to a missing package, library, tool, or piece of software.",What challenges have you faced when trying to use an artifact other than your own? (Select all that apply) - Selected Choice - I encountered a run-time error when using the artifact.,What challenges have you faced when trying to use an artifact other than your own? (Select all that apply) - Selected Choice - I had to modify the source code of the artifact.,What challenges have you faced when trying to use an artifact other than your own? (Select all that apply) - Selected Choice - I had to re-implement the artifact.,What challenges have you faced when trying to use an artifact other than your own? (Select all that apply) - Selected Choice - Other,Have you ever evaluated artifacts as a member of an Artifact Evaluation Committee?
Academic Researcher,10 or more,Yes,,As tools or code to accompany a paper,,,,,,"Yes, an artifact was shared with some of them",,,,,,,,,,,,,,,,,,,
Academic Researcher,10 or more,No,,,,,,,,,,,To obtain supplementary information for a research paper.,To obtain the necessary tools and/or data to replicate the findings of a research paper.,To obtain benchmark data or results to compare against.,,,,,A lack of clear instructions for using the artifact.,A lack of clear instructions for building the artifact.,,"I couldn't build the artifact due to an unavailable piece of software, library, or compiler.","I couldn't run the artifact due to a missing package, library, tool, or piece of software.",I encountered a run-time error when using the artifact.,,,,Yes
Industrial Practitioner,1 to 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Researcher,1 to 3,Yes,As a replication package,As tools or code to accompany a paper,To provide a companion site,"To provide extra data that doesn't fit in the paper (e.g., survey results)",,,,"Yes, an artifact was shared with all of them",Yes. I experienced these challenges:,"No, because I have not had the opportunity to submit to an artifact evaluation committee.",To obtain supplementary information for a research paper.,To obtain the necessary tools and/or data to replicate the findings of a research paper.,To obtain benchmark data or results to compare against.,,,,,A lack of clear instructions for using the artifact.,A lack of clear instructions for building the artifact.,,,,,I had to modify the source code of the artifact.,,,No
Academic Researcher,7 to 9,Yes,As a replication package,,,"To provide extra data that doesn't fit in the paper (e.g., survey results)",,,,"Yes, an artifact was shared with all of them",Yes. I experienced these challenges:,"No, because I have not had the opportunity to submit to an artifact evaluation committee.",To obtain supplementary information for a research paper.,,To obtain benchmark data or results to compare against.,,,,,A lack of clear instructions for using the artifact.,,The artifact was no longer accessible.,"I couldn't build the artifact due to an unavailable piece of software, library, or compiler.",,,,,,No
Academic Researcher,1 to 3,Yes,,As tools or code to accompany a paper,,,,,,"Yes, an artifact was shared with all of them",Yes. I experienced these challenges:,"No, because I have not had the opportunity to submit to an artifact evaluation committee.",To obtain supplementary information for a research paper.,To obtain the necessary tools and/or data to replicate the findings of a research paper.,To obtain benchmark data or results to compare against.,,,,,A lack of clear instructions for using the artifact.,A lack of clear instructions for building the artifact.,The artifact was no longer accessible.,,,,,,,No
Academic Researcher,10 or more,Yes,As a replication package,,,"To provide extra data that doesn't fit in the paper (e.g., survey results)",To provide additional information to the reviewer(s),,,"Yes, an artifact was shared with some of them",No,"No, because I have not had the opportunity to submit to an artifact evaluation committee.",To obtain supplementary information for a research paper.,To obtain the necessary tools and/or data to replicate the findings of a research paper.,To obtain benchmark data or results to compare against.,,,,I have never tried and failed to use an artifact.,,,,,,,,,,No
Academic Researcher,10 or more,Yes,As a replication package,As tools or code to accompany a paper,,,,,,"Yes, an artifact was shared with some of them",Yes. I experienced these challenges:,Yes,,,,,I have never used an artifact from a research paper other than my own.,,I have never tried and failed to use an artifact.,,,,,,,,,,No
Industrial Researcher,1 to 3,Yes,As a replication package,As tools or code to accompany a paper,To provide a companion site,"To provide extra data that doesn't fit in the paper (e.g., survey results)",,,,"Yes, an artifact was shared with all of them",No,"No, because I have not had the opportunity to submit to an artifact evaluation committee.",To obtain supplementary information for a research paper.,,To obtain benchmark data or results to compare against.,,,,,A lack of clear instructions for using the artifact.,A lack of clear instructions for building the artifact.,The artifact was no longer accessible.,"I couldn't build the artifact due to an unavailable piece of software, library, or compiler.","I couldn't run the artifact due to a missing package, library, tool, or piece of software.",I encountered a run-time error when using the artifact.,I had to modify the source code of the artifact.,,,No
